,,Facility count,HIV,TB,Malaria,ANC,Immu,Quality_Score,HW_Competence_Score,ANC_score,ANC_score,ART_score,TB_score,Patient_Centeredness_Score,PC_avg_Communication,PC_avg_Respect,PC_avg_Autonomy,PC_avg_Confidentiality,PC_avg_Social support,PC_avg_HW told,PC_avg_Danger signs,PC_avg_Rudeness,PC_avg_Challenges,iss_score,fac_iss,fac_tech,fac_stats,fac_group_PS,fac_comms_data,HTM-ANC,HTM-ANC,hiv testing,ART access,iptp scores,TB screening,system_CHW_score,chw_count,chw_iss,chw_contract,chw_contract_any,chw_paid,chw_tools,facility_composite,HTM-ANC,HTM-ANC,presence_score,caseload,ANC_score,ANC_score,DPT_score,TB_treatment_completion,ART_retention,CHW_count,CHW_paid_full,CLM_score,comm_data_collectors,quarterly_feedback,comm_data_analysis,CLM_aware,CLM_promotion,client_feedback,guideline_score,guide_HIV_test,guide_ART,guide_TB,guide_malaria,guide_anc,guide_immu,guide_imci,flowmeter_avl,flowmeter_func,humidifier_avl,humidifier_func,oxy_available,oxy_deliverable,oxygen_avl,oxygen_avo,oxygen_delivery_avl,oxygen_delivery_func,oxygen_score,pulse_oximeter_avl,pulse_oximeter_func,test-capac,fac_has_lab,fac_test_no_lab,fac_no_test,score with lab,score without lab,Antibodies to HIV 1/2 (anti HIV Ab),Qualitative (EID) or quantitative (viral load) HIV nucleic acid test (NAT),CD4 cell enumeration,Antibodies to Treponema pallidum OR Combined antibodies to T. pallidum and HIV 1/2,Lipoarabinomannan (LAM) antigen,Mycobacterium tuberculosis bacteria,M. tuberculosis DNA,Drug susceptibility testing of M. tuberculosis culture,Plasmodium spp. antigens; species-specific (e.g. HRP2) and/or pan species-specific (e.g. pan-pLDH),Staining procedures,Culture OR Culture and Genus and species identification of bacteria and fungi,Antimicrobial susceptibility testing (AST),C-reactive protein (CRP),"Complete blood count (CBC), automated",Prothrombin time and international normalized ratio (PT/INR),Blood culture,Blood gas,Glucose,Liver profile/Liver Function test,Renal function test,SARS-CoV-2 test,Hepatitis B surface antigen (HBsAg),Influenza A and B antigen,Influenza A and B diagnostic,"Qualitative dengue virus nucleic acid test, Dengue virus IgM antibody or Dengue virus antigen (NS1)",Qualitative nucleic acid test (NAT) for Chlamydia trachomatis (CT) and Neisseria gonorrhoeae (NG) infections,Measles nucleic acid test or Measle serology,Vibrio cholerae antigen,vacancy_score,all_funded_posts,all_unfilled_posts
COUNTRY,AVERAGE,120.0,92.5,83.33333333333333,100.0,90.83333333333333,98.33333333333333,75.67895637523952,77.68156921294491,83.54828097488647,67.5,61.5,89.29292929292929,73.69928075396825,91.78819444444443,90.44097222222221,64.90972222222221,91.99229691876751,58.96875,92.08333333333333,74.1388888888889,90.48611111111111,4.1456582633053225,86.83473389355741,94.11764705882354,88.39285714285714,93.69369369369369,91.07142857142857,96.29629629629629,79.97324159021407,79.97324159021407,93.14641744548288,85.29411764705883,93.57798165137615,54.678899082568805,27.308868501529055,1.7916666666666667,67.29357798165138,4.525993883792049,39.02140672782874,28.516819571865444,8.899082568807339,73.62771336829307,79.97324159021407,79.97324159021407,76.27044799988003,41.70575707850726,83.54828097488647,67.5,88.53426698064268,96.28691983122363,75.49242424242424,1.7916666666666667,28.516819571865444,85.97222222222221,88.33333333333333,80.0,86.66666666666667,85.0,85.0,90.83333333333333,92.84722222222223,92.7927927927928,100.0,97.0,93.33333333333333,89.90825688073394,99.15254237288136,86.66666666666667,81.0126582278481,78.48101265822785,88.60759493670886,91.13924050632912,94.9367088607595,91.13924050632912,74.68354430379746,88.60759493670886,92.40506329113924,97.46835443037975,81.64556962025317,88.60759493670886,92.40506329113924,52.51964085297418,85.83333333333333,10.0,4.166666666666667,58.54009349154979,16.0427807486631,88.33333333333333,77.5,80.0,80.0,79.16666666666667,90.29126213592232,76.69902912621359,57.28155339805825,95.83333333333333,93.20388349514563,43.689320388349515,42.71844660194175,33.980582524271846,83.49514563106796,5.825242718446602,36.89320388349515,3.883495145631068,95.14563106796116,77.66990291262135,76.69902912621359,52.5,77.5,5.0,4.166666666666667,3.883495145631068,12.62135922330097,30.097087378640776,0.0,43.51819710785924,276.23333333333335,196.75
General,PERIURBAN,28.0,96.42857142857143,92.85714285714286,100.0,96.42857142857143,100.0,81.15602453102453,88.08698092031426,87.61690983913206,75.55555555555556,81.41025641025641,96.53846153846153,74.39484126984128,96.38392857142857,92.90178571428571,65.04464285714286,97.64880952380952,62.098214285714285,89.82142857142857,76.42857142857143,86.78571428571429,2.857142857142857,94.04761904761905,100.0,96.42857142857143,89.28571428571429,92.85714285714286,100.0,86.5432098765432,86.5432098765432,95.24691358024691,92.3076923076923,94.07407407407408,71.85185185185185,29.4,1.7142857142857142,65.86666666666667,6.0,55.2,38.4,7.333333333333334,74.77140636542302,86.5432098765432,86.5432098765432,76.02784121718611,35.692326772660444,87.61690983913206,75.55555555555556,86.63636175606706,99.16666666666667,59.27536231884058,1.7142857142857142,38.4,94.04761904761905,96.42857142857143,89.28571428571429,96.42857142857143,92.85714285714286,96.42857142857143,92.85714285714286,95.51020408163265,88.88888888888889,100.0,100.0,92.85714285714286,92.5925925925926,100.0,96.42857142857143,86.95652173913044,82.6086956521739,100.0,100.0,100.0,100.0,82.6086956521739,95.65217391304348,100.0,100.0,89.1304347826087,95.65217391304348,95.65217391304348,59.704184704184705,92.85714285714286,7.142857142857143,0.0,63.24786324786324,13.636363636363637,92.85714285714286,92.85714285714286,92.85714285714286,85.71428571428571,85.71428571428571,92.3076923076923,88.46153846153847,65.38461538461539,100.0,100.0,42.30769230769231,38.46153846153846,42.30769230769231,100.0,7.6923076923076925,34.61538461538461,0.0,100.0,96.15384615384616,96.15384615384616,57.142857142857146,92.85714285714286,0.0,0.0,7.6923076923076925,11.538461538461538,42.30769230769231,0.0,38.428826634372676,298.4642857142857,230.89285714285714
General,RURAL,53.0,84.90566037735849,67.9245283018868,100.0,86.79245283018868,96.22641509433963,73.639756212119,72.96403252882943,81.60606060606061,56.81818181818182,53.611111111111114,83.42857142857143,73.93998951781971,89.73270440251572,89.937106918239,63.33333333333333,90.3125,59.827044025157235,93.77358490566037,74.46540880503144,92.70440251572326,2.5641025641025643,82.6923076923077,90.38461538461539,85.1063829787234,93.47826086956522,89.36170212765957,97.82608695652173,77.82608695652173,77.82608695652173,92.93478260869566,70.0,94.78260869565217,48.69565217391305,20.85,1.7547169811320755,60.4,0.0,25.466666666666665,17.733333333333334,5.266666666666667,70.35340616317843,77.82608695652173,77.82608695652173,73.58498109701962,45.98780526462784,81.60606060606061,56.81818181818182,91.08842912994636,96.95652173913044,74.19354838709677,1.7547169811320755,17.733333333333334,86.16352201257862,86.79245283018868,83.01886792452831,84.90566037735849,86.79245283018868,84.90566037735849,90.56603773584905,87.52470799640611,88.88888888888889,100.0,91.66666666666667,90.56603773584905,82.6086956521739,98.03921568627452,77.35849056603773,84.21052631578948,78.94736842105263,89.47368421052632,89.47368421052632,89.47368421052632,89.47368421052632,78.94736842105263,78.94736842105263,89.47368421052632,94.73684210526316,78.94736842105263,78.94736842105263,78.94736842105263,37.72949622006226,73.58490566037736,16.9811320754717,9.433962264150944,45.67901234567901,15.584415584415584,77.35849056603773,58.490566037735846,62.264150943396224,64.15094339622641,62.264150943396224,82.05128205128206,56.41025641025641,43.58974358974359,90.56603773584905,82.05128205128206,17.94871794871795,17.94871794871795,10.256410256410257,56.41025641025641,5.128205128205129,12.820512820512821,2.5641025641025643,87.17948717948718,48.717948717948715,46.15384615384615,30.18867924528302,56.60377358490566,5.660377358490566,3.7735849056603774,2.5641025641025643,2.5641025641025643,25.641025641025642,0.0,46.03251045551084,128.0566037735849,105.33962264150944
General,URBAN,39.0,100.0,97.43589743589743,100.0,92.3076923076923,100.0,74.51792304917305,76.16305916305916,82.97853535353535,74.71428571428571,55.35087719298246,89.73684210526316,72.87278693528694,91.28205128205128,89.35897435897436,66.9551282051282,90.17094017094017,55.55555555555555,91.41025641025641,72.05128205128206,90.12820512820512,7.17948717948718,87.17948717948718,94.87179487179488,86.48648648648648,97.29729729729729,91.89189189189189,91.42857142857143,77.78935185185186,77.78935185185186,91.76470588235294,97.22222222222223,91.66666666666667,49.44444444444444,35.26960784313726,1.8974358974358974,78.48039215686275,10.098039215686276,47.05882352941177,37.1078431372549,15.392156862745098,77.25629998243244,77.78935185185186,77.78935185185186,80.5493613579871,39.22675881858606,82.97853535353535,74.71428571428571,86.34956222631004,93.64583333333333,87.6470588235294,1.8974358974358974,37.1078431372549,79.91452991452991,84.61538461538461,69.23076923076923,82.05128205128206,76.92307692307692,76.92307692307692,89.74358974358974,98.16849816849816,100.0,100.0,100.0,97.43589743589743,97.22222222222223,100.0,92.3076923076923,75.67567567567568,75.67567567567568,81.08108108108108,86.48648648648648,94.5945945945946,86.48648648648648,67.56756756756756,89.1891891891892,89.1891891891892,97.29729729729729,78.37837837837837,89.1891891891892,97.29729729729729,67.4609341276008,97.43589743589743,2.5641025641025643,0.0,68.51851851851852,27.272727272727273,100.0,92.3076923076923,94.87179487179488,97.43589743589743,97.43589743589743,97.36842105263158,89.47368421052632,65.78947368421052,100.0,100.0,71.05263157894737,71.05263157894737,52.63157894736842,100.0,5.2631578947368425,63.1578947368421,7.894736842105263,100.0,94.73684210526316,94.73684210526316,79.48717948717949,94.87179487179488,7.6923076923076925,7.6923076923076925,2.6315789473684212,23.68421052631579,26.31578947368421,0.0,43.4216896478889,461.64102564102564,296.46153846153845
PRIMARY,General,46.0,80.43478260869566,58.69565217391305,100.0,82.6086956521739,95.65217391304348,73.27159932915862,72.2392238685945,81.103668261563,61.111111111111114,50.0,82.3076923076923,73.53562801932368,89.31159420289855,90.36231884057972,63.2427536231884,89.375,59.311594202898554,92.82608695652173,74.4927536231884,92.89855072463767,2.5185185185185186,82.22222222222223,88.88888888888889,87.5,94.87179487179488,87.5,100.0,77.76315789473684,77.76315789473684,92.10526315789474,70.58823529411765,95.78947368421052,46.8421052631579,22.38372093023256,1.7826086956521738,63.95348837209303,2.3255813953488373,29.147286821705425,20.155038759689923,3.10077519379845,69.62502497456566,77.76315789473684,77.76315789473684,69.3396374866963,50.183949296890475,81.103668261563,61.111111111111114,90.33302301519586,97.22222222222223,70.4,1.7826086956521738,20.155038759689923,86.59420289855073,86.95652173913044,84.78260869565217,84.78260869565217,86.95652173913044,84.78260869565217,91.30434782608695,87.17908902691512,89.1891891891892,100.0,88.88888888888889,89.1304347826087,81.57894736842105,97.72727272727273,80.43478260869566,55.55555555555556,55.55555555555556,77.77777777777777,77.77777777777777,88.88888888888889,77.77777777777777,55.55555555555556,77.77777777777777,77.77777777777777,88.88888888888889,66.66666666666667,77.77777777777777,77.77777777777777,31.086224564485434,67.3913043478261,21.73913043478261,10.869565217391305,40.26284348864994,12.121212121212123,71.73913043478261,50.0,52.17391304347826,58.69565217391305,52.17391304347826,74.19354838709677,41.935483870967744,32.25806451612903,89.1304347826087,77.41935483870968,12.903225806451612,12.903225806451612,3.225806451612903,45.16129032258065,0.0,6.451612903225806,0.0,83.87096774193549,32.25806451612903,32.25806451612903,21.73913043478261,50.0,4.3478260869565215,2.1739130434782608,3.225806451612903,3.225806451612903,19.35483870967742,0.0,44.2212628193949,67.3913043478261,76.47826086956522
PRIMARY,PERIURBAN,4.0,75.0,75.0,100.0,75.0,100.0,77.80902777777777,82.44444444444444,80.66666666666667,73.33333333333333,83.33333333333333,83.33333333333333,72.95138888888889,96.875,93.75,54.375,96.875,65.625,90.0,65.0,85.0,5.0,93.75,100.0,75.0,100.0,100.0,100.0,88.8888888888889,88.8888888888889,100.0,100.0,100.0,66.66666666666667,31.25,3.25,75.0,25.0,30.0,25.0,0.0,70.35226011490462,88.8888888888889,88.8888888888889,70.43137254901961,41.0171568627451,80.66666666666667,73.33333333333333,75.57771474323326,100.0,86.66666666666667,3.25,25.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.42857142857143,100.0,100.0,100.0,100.0,100.0,100.0,75.0,50.0,50.0,100.0,100.0,100.0,100.0,50.0,100.0,100.0,100.0,75.0,100.0,100.0,47.64309764309765,75.0,25.0,0.0,60.49382716049382,9.090909090909092,75.0,75.0,75.0,75.0,75.0,66.66666666666667,66.66666666666667,66.66666666666667,100.0,100.0,66.66666666666667,33.333333333333336,33.333333333333336,100.0,0.0,0.0,0.0,100.0,100.0,100.0,25.0,75.0,0.0,0.0,0.0,0.0,66.66666666666667,0.0,41.94805194805195,45.0,264.25
PRIMARY,RURAL,39.0,79.48717948717949,56.41025641025641,100.0,82.05128205128206,94.87179487179488,72.96917595052794,71.52422508620856,80.83901515151516,58.0,48.63636363636363,82.85714285714286,73.68233618233619,88.35470085470085,90.04273504273503,65.04273504273503,88.42948717948718,59.123931623931625,93.07692307692308,74.52991452991452,93.67521367521368,2.456140350877193,79.60526315789474,86.84210526315789,87.87878787878788,93.75,84.84848484848484,100.0,75.88541666666667,75.88541666666667,91.25,61.53846153846154,95.0,43.125,20.48611111111111,1.6923076923076923,59.72222222222222,0.0,28.703703703703702,18.51851851851852,3.703703703703704,68.96094399126824,75.88541666666667,75.88541666666667,70.24271524271524,50.88708133971292,80.83901515151516,58.0,92.28398932924254,96.66666666666667,65.0,1.6923076923076923,18.51851851851852,84.1880341880342,84.61538461538461,82.05128205128206,82.05128205128206,84.61538461538461,82.05128205128206,89.74358974358974,85.24420024420024,87.09677419354838,100.0,86.36363636363636,87.17948717948718,78.125,97.29729729729729,79.48717948717949,60.0,60.0,60.0,60.0,80.0,60.0,60.0,60.0,60.0,80.0,60.0,60.0,60.0,28.51592851592852,66.66666666666667,20.512820512820515,12.820512820512821,37.17948717948718,11.18881118881119,69.23076923076923,46.15384615384615,48.717948717948715,53.84615384615385,48.717948717948715,73.07692307692308,38.46153846153846,26.923076923076923,87.17948717948718,73.07692307692308,7.6923076923076925,11.538461538461538,0.0,34.61538461538461,0.0,7.6923076923076925,0.0,80.76923076923077,23.076923076923077,23.076923076923077,20.512820512820515,46.15384615384615,5.128205128205129,2.5641025641025643,3.8461538461538463,3.8461538461538463,15.384615384615385,0.0,44.45437160540135,69.92307692307692,60.205128205128204
PRIMARY,URBAN,3.0,100.0,66.66666666666667,100.0,100.0,100.0,71.15319865319866,69.8989898989899,84.36363636363636,80.0,15.0,75.0,72.4074074074074,91.66666666666667,90.0,51.666666666666664,91.66666666666667,53.333333333333336,93.33333333333333,86.66666666666667,93.33333333333333,0.0,100.0,100.0,100.0,100.0,100.0,100.0,86.66666666666667,86.66666666666667,93.33333333333333,100.0,100.0,66.66666666666667,33.333333333333336,1.0,100.0,0.0,33.333333333333336,33.333333333333336,0.0,77.2884309036469,86.66666666666667,86.66666666666667,56.74603174603175,53.5,84.36363636363636,80.0,86.59517160925243,100.0,100.0,1.0,33.333333333333336,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,50.0,100.0,100.0,100.0,100.0,50.0,100.0,100.0,100.0,75.0,100.0,100.0,42.42424242424243,66.66666666666667,33.333333333333336,0.0,50.0,27.272727272727273,100.0,66.66666666666667,66.66666666666667,100.0,66.66666666666667,100.0,50.0,50.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,50.0,50.0,33.333333333333336,66.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,43.61946532999165,64.33333333333333,37.666666666666664
SECONDARY,General,57.0,100.0,98.24561403508773,100.0,100.0,100.0,76.7121785682641,79.29985316827423,83.88366117313485,69.3859649122807,63.095238095238095,91.25,74.12450396825396,93.0701754385965,90.19736842105263,65.0657894736842,94.68005952380952,58.64035087719298,93.94736842105263,75.70175438596492,90.87719298245614,2.1052631578947367,89.61988304093566,98.24561403508773,87.5,91.07142857142857,92.85714285714286,94.54545454545455,79.24707602339183,79.24707602339183,93.80116959064328,90.38461538461539,92.98245614035088,53.333333333333336,28.040123456790123,2.0,63.611111111111114,3.5802469135802473,45.370370370370374,35.03086419753087,9.938271604938272,75.67857771599034,79.24707602339183,79.24707602339183,81.67814949308574,38.21888706034687,83.88366117313485,69.3859649122807,89.14568745263975,96.30434782608695,74.20289855072464,2.0,35.03086419753087,89.1812865497076,92.98245614035088,82.45614035087719,91.2280701754386,89.47368421052632,89.47368421052632,89.47368421052632,96.04010025062658,92.98245614035088,100.0,100.0,98.24561403508773,92.98245614035088,100.0,89.47368421052632,81.48148148148148,77.77777777777777,88.88888888888889,90.74074074074075,94.44444444444444,92.5925925925926,75.92592592592592,94.44444444444444,96.29629629629629,98.14814814814815,85.18518518518519,94.44444444444444,94.44444444444444,63.90808671510426,96.49122807017544,3.508771929824561,0.0,64.57912457912458,45.45454545454546,98.24561403508773,94.73684210526316,98.24561403508773,91.2280701754386,94.73684210526316,96.36363636363636,90.9090909090909,70.9090909090909,100.0,100.0,49.09090909090909,47.27272727272727,34.54545454545455,100.0,9.090909090909092,40.0,1.8181818181818181,100.0,96.36363636363636,94.54545454545455,66.66666666666667,92.98245614035088,5.2631578947368425,5.2631578947368425,5.454545454545454,10.909090909090908,40.0,0.0,41.49680679621902,301.7368421052632,224.66666666666666
SECONDARY,PERIURBAN,22.0,100.0,95.45454545454545,100.0,100.0,100.0,82.27622819100091,89.41988062442607,87.52984389348025,73.63636363636364,83.96825396825396,98.57142857142857,75.13257575757575,95.9659090909091,93.23863636363636,66.07954545454545,98.48484848484848,62.55681818181818,91.5909090909091,80.9090909090909,86.81818181818181,1.8181818181818181,93.56060606060606,100.0,100.0,86.36363636363636,90.9090909090909,100.0,85.30303030303031,85.30303030303031,94.16666666666666,88.88888888888889,93.63636363636364,70.0,29.25,1.4090909090909092,62.333333333333336,2.5,63.0,43.0,9.166666666666668,74.87676894925343,85.30303030303031,85.30303030303031,77.36055534261413,36.40171930671859,87.52984389348025,73.63636363636364,88.34321239474966,99.0,54.074074074074076,1.4090909090909092,43.0,93.18181818181819,95.45454545454545,86.36363636363636,95.45454545454545,95.45454545454545,95.45454545454545,90.9090909090909,96.23376623376625,86.36363636363636,100.0,100.0,100.0,90.9090909090909,100.0,100.0,89.47368421052632,89.47368421052632,100.0,100.0,100.0,100.0,89.47368421052632,94.73684210526316,100.0,100.0,92.10526315789474,94.73684210526316,94.73684210526316,61.095806550352,95.45454545454545,4.545454545454546,0.0,63.13932980599647,18.181818181818183,95.45454545454545,95.45454545454545,95.45454545454545,86.36363636363636,86.36363636363636,95.23809523809524,90.47619047619048,61.904761904761905,100.0,100.0,38.095238095238095,38.095238095238095,38.095238095238095,100.0,9.523809523809524,38.095238095238095,0.0,100.0,95.23809523809524,95.23809523809524,59.09090909090909,95.45454545454545,0.0,0.0,9.523809523809524,14.285714285714286,42.857142857142854,0.0,35.45152369911697,305.54545454545456,196.0
