,COUNTRY_test-capac,COUNTRY_score with lab,COUNTRY_score without lab,PRIMARY_test-capac,PRIMARY_score with lab,PRIMARY_score without lab,SECONDARY_test-capac,SECONDARY_score with lab,SECONDARY_score without lab,TERTIARY_test-capac,TERTIARY_score with lab,TERTIARY_score without lab
ghana,27.65151515151515,50.0,12.752525252525253,20.16120803999592,39.91769547325103,12.752525252525253,56.79012345679012,56.79012345679012,,78.39506172839506,78.39506172839506,
gambia,19.854096520763186,28.690662493479397,7.05009276437848,12.780583613916948,21.0727969348659,7.18816067653277,25.157558490891827,28.322440087145967,3.6363636363636367,53.46053123830902,57.87037037037037,18.181818181818183
liberia,23.846801346801342,34.010840108401084,1.9138755980861248,13.325031133250311,23.07692307692308,2.1390374331550803,34.9537037037037,39.94708994708994,0.0,42.89127837514934,45.8492975734355,0.0
madagascar,25.662177328843995,34.539190353143844,3.2085561497326203,4.938271604938271,27.160493827160494,0.0,29.83164983164983,30.604288499025344,15.15151515151515,41.72590098516024,46.2157809983897,15.90909090909091
malawi,48.804713804713806,52.34567901234568,38.18181818181817,38.76863876863877,40.95238095238095,36.03896103896104,58.61762276856617,58.24255628177197,68.18181818181819,76.85185185185185,76.85185185185185,
nigeria,64.07407407407408,68.53535353535354,15.0,32.16374269005848,41.44144144144144,15.0,71.99074074074073,71.99074074074073,,88.08373590982286,88.08373590982286,
uganda,52.51964085297418,58.54009349154979,16.0427807486631,31.086224564485438,40.26284348864994,12.121212121212125,63.90808671510426,64.57912457912458,45.45454545454546,72.33115468409585,72.33115468409585,
congo,21.708754208754208,29.85274431057564,3.43980343980344,11.620591883749778,19.35185185185185,3.0303030303030303,37.29246487867178,37.29246487867178,,42.69360269360269,44.44444444444445,18.181818181818183
mozambique,39.86531986531987,53.78421900161031,21.033868092691623,23.98989898989899,38.88888888888889,20.75098814229249,50.14141414141415,53.08641975308642,23.63636363636364,66.66666666666667,66.66666666666667,
